Date,County,Cases,Tests,Deaths,Recovered
Apr_02_2020,county,,,,
Apr_02_2020,alameda,,,,
Apr_02_2020,alpine,,,,
Apr_02_2020,amador,3,0,0,0
Apr_02_2020,berkeley,23,0,0,0
Apr_02_2020,butte,10,0,0,0
Apr_02_2020,calaveras,3,0,0,0
Apr_02_2020,colusa,1,0,0,0
Apr_02_2020,contra_costa,,,,
Apr_02_2020,del_norte,,,,
Apr_02_2020,el_dorado,,,,
Apr_02_2020,fresno,52,1650,0,0
Apr_02_2020,glenn,,,,
Apr_02_2020,humboldt,,,,
Apr_02_2020,imperial,50,389,0,0
Apr_02_2020,inyo,,,,
Apr_02_2020,kern,,,,
Apr_02_2020,kings,5,108,0,0
Apr_02_2020,lake,,,,
Apr_02_2020,lassen,,,,
Apr_02_2020,long_beach,139,0,1,0
Apr_02_2020,los_angeles,3869,0,78,0
Apr_02_2020,madera,28,0,0,0
Apr_02_2020,marin,118,0,0,0
Apr_02_2020,mariposa,0,0,51,0
Apr_02_2020,mendocino,4,0,237,0
Apr_02_2020,merced,,,,
Apr_02_2020,modoc,,,,
Apr_02_2020,mono,18,0,1,0
Apr_02_2020,monterey,48,561,2,0
Apr_02_2020,napa,,,,
Apr_02_2020,nevada,,,,
Apr_02_2020,orange,656,0,13,0
Apr_02_2020,pasadena,49,0,0,0
Apr_02_2020,placer,90,0,2,0
Apr_02_2020,plumas,2,66,0,0
Apr_02_2020,riverside,,,,
Apr_02_2020,san_benito,,,,
Apr_02_2020,san_bernardino,304,0,8,0
Apr_02_2020,san_diego,966,0,16,0
Apr_02_2020,san_francisco,450,0,7,0
Apr_02_2020,san_joaquin,178,0,10,0
Apr_02_2020,san_luis_obispo,,,,
Apr_02_2020,san_mateo,S,E,E, 
Apr_02_2020,santa_barbara,,,,
Apr_02_2020,santa_clara,,,,
Apr_02_2020,santa_cruz,57,0,1,0
Apr_02_2020,shasta,7,0,1,0
Apr_02_2020,sierra, 0,7,0,0
Apr_02_2020,siskiyou,,,,
Apr_02_2020,solano,,,,
Apr_02_2020,sonoma,,,,
Apr_02_2020,stanislaus,50,1387,0,0
Apr_02_2020,sutter,,,,
Apr_02_2020,tehama,V,S,I,U
Apr_02_2020,trinity,,,,
Apr_02_2020,tulare,,,,
Apr_02_2020,tuolumne,1,227,0,0
Apr_02_2020,ventura,,,,
Apr_02_2020,yolo,,,,
Apr_02_2020,yuba,,,,
