index,COUNTYFIP
Alameda,1
Amador,5
Butte,7
Calaveras,9
Contra Costa,13
El Dorado,17
Fresno,19
Humboldt,23
Imperial,25
Kern,29
Kings,31
Los Angeles,37
Madera,39
Marin,41
Mendocino,45
Merced,47
Monterey,53
Napa,55
Nevada,57
Orange,59
Placer,61
Riverside,65
Sacramento,67
San Benito,69
San Bernardino,71
San Diego,73
San Francisco,75
San Joaquin,77
San Luis Obispo,79
San Mateo,81
Santa Barbara,83
Santa Clara,85
Santa Cruz,87
Shasta,89
Solano,95
Sonoma,97
Stanislaus,99
Tulare,107
Ventura,111
Yolo,113
