County	Deaths	Cases
Los Angeles	80	4,071
Mar. 1
April 1
Santa Clara	36	1,019
San Diego	16	966
Orange	13	656
Riverside	14	493
San Mateo	10	453
San Francisco	7	450
Alameda	9	396
Sacramento	9	341
Contra Costa	3	276
San Bernardino	6	254
San Joaquin	9	173
Ventura	5	160
Kern	1	139
Santa Barbara	1	111
Marin	6	108
Fresno	0	94
Sonoma	1	91
Placer	2	90
San Luis Obispo	0	89
Tulare	2	74
Santa Cruz	1	57
Solano	0	54
Monterey	2	48
Stanislaus	0	44
Imperial	0	43
Humboldt	0	37
Yolo	1	28
Nevada	0	26
Madera	1	25
San Benito	1	23
Napa	1	18
El Dorado	0	18
Mono	1	18
Merced	0	16
Sutter	1	14
Inyo	0	10
Butte	0	9
Yuba	0	8
Shasta	1	7
Kings	0	5
Mendocino	0	4
Siskiyou	0	3
Amador	0	3
Calaveras	0	3
Glenn	0	2
Alpine	0	1
Tehama	0	1
Plumas	0	1
Del Norte	0	1
Colusa	0	1
Tuolumne	0	1
