County,Website,Covid Numbers 2020-03-23 17:02:46.151046-07:00,Deaths2020-03-24 11:00:13.839707-07:00,Covid Numbers 2020-03-24 11:08:48.215442-07:00,Covid Numbers 2020-03-25 09:37:20.179272-07:00,Deaths2020-03-25 09:37:24.378259-07:00,Recovered 2020-03-25 10:18:16.933278-07:00,Tests Done as of 2020-03-25 11:05:05.411895-07:00,Covid Numbers 2020-03-25 21:11:57.049584-07:00,Deaths 2020-03-25 21:11:57.049764-07:00,Recovered 2020-03-25 21:11:57.051612-07:00,Tests Done as of 2020-03-25 21:11:57.033404-07:00,Covid Numbers 2020-03-26 09:49:37.315954-07:00,Deaths 2020-03-26 09:49:37.316099-07:00,Recovered 2020-03-26 09:49:37.316253-07:00,Tests Done as of 2020-03-26 09:49:37.306616-07:00,4,Covid Numbers 2020-03-27 09:22:22.453351-07:00,Deaths 2020-03-27 09:22:22.453684-07:00,Recovered 2020-03-27 09:22:22.453915-07:00,Tests Done as of 2020-03-27 09:22:22.426441-07:00,0,5,Covid Numbers 2020-03-28 11:09:23.606420-07:00,Deaths 2020-03-28 11:09:23.606590-07:00,Recovered 2020-03-28 11:09:23.606723-07:00,Tests Done as of 2020-03-28 11:09:23.598589-07:00
Alameda,http://www.acphd.org/2019-ncov.aspx,112,1,112,124,0,0.0,124,124,0,0.0,124,164,4,0.0,124,,164,4,,124,,,164,4,,124
Alpine,http://alpinecountyca.gov/AlertCenter.aspx,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,,0,0,,0,,,0,0,,0
Amador,https://www.amadorgov.org/services/covid-19,2,0,2,2,0,0.0,2,2,0,0.0,2,2,0,0.0,2,,2,0,,2,,,2,0,,2
Berkeley,https://www.cityofberkeley.info/coronavirus,10,0,11,11,0,0.0,11,11,0,0.0,11,2,0,0.0,11,,14,0,,11,,,2,0,,11
Butte,http://www.buttecounty.net/publichealth/Home.aspx,3,0,4,4,0,0.0,0,4,0,0.0,0,5,0,0.0,0,,5,0,,0,,,5,0,,0
Calaveras,https://covid19.calaverasgov.us/,2,0,2,2,0,0.0,2,2,0,0.0,2,2,0,0.0,2,,0,0,,2,,,0,0,,2
Colusa,http://www.countyofcolusa.org/index.aspx?NID=99,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,,0,0,,0,,,1,0,,0
Contra Costa,https://www.coronavirus.cchealth.org/,0,1,71,86,1,0.0,86,108,1,0.0,86,108,1,0.0,86,,131,1,,86,,,151,2,,86
Del Norte,http://www.co.del-norte.ca.us/departments/health-human-services/public-health,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,,0,0,,0,,,0,0,,0
El Dorado,https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx,0,​0,2,3,0,0.0,3,3,0,0.0,3,3,0,0.0,3,,9,0,,3,,,12,0,,3
