County,Website,2020-03-23 Confirmed Cases,2020-03-24 Deaths,2020-03-24 Confirmed Cases,2020-03-25 Confirmed Cases,2020-03-25 Deaths,2020-03-25 Recovered,2020-03-25 Tests,2020-03-26 Confirmed Cases,2020-03-26 Deaths,2020-03-26 Recovered,2020-03-26 Tests,2020-03-27 Confirmed Cases,2020-03-27 Deaths,2020-03-27 Recovered,2020-03-27 Tests,2020-03-28 Confirmed Cases,2020-03-28 Deaths,2020-03-28 Recovered,2020-03-28 Tests,2020-03-30 Confirmed Cases,2020-03-30 Deaths,2020-03-30 Recovered,2020-03-30 Tests,13,Recovered 13,2020-03-31 Confirmed Cases,2020-03-31 Deaths,2020-03-31 Recovered,2020-03-31 Tests
Alameda,http://www.acphd.org/2019-ncov.aspx,112,1,112,124,0,0.0,124,164,4,0.0,124,164,4,0,124,164,4,0,124,264,7,0,124,0,0,264,7,0,124
Alpine,http://alpinecountyca.gov/AlertCenter.aspx,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amador,https://www.amadorgov.org/services/covid-19,2,0,2,2,0,0.0,2,2,0,0.0,2,2,0,0,2,2,0,0,2,2,0,0,2,0,0,2,0,0,2
Berkeley,https://www.cityofberkeley.info/coronavirus,10,0,11,11,0,0.0,11,2,0,0.0,11,14,0,0,11,2,0,0,11,16,0,0,11,0,0,2,0,0,11
Butte,http://www.buttecounty.net/publichealth/Home.aspx,3,0,4,4,0,0.0,0,5,0,0.0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,8,0,0,0
Calaveras,https://covid19.calaverasgov.us/,2,0,2,2,0,0.0,2,2,0,0.0,2,0,0,0,2,0,0,0,2,3,0,0,2,0,0,3,0,0,2
Colusa,http://www.countyofcolusa.org/index.aspx?NID=99,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Contra Costa,https://www.coronavirus.cchealth.org/,0,1,71,86,1,0.0,86,108,1,0.0,86,131,1,0,86,151,2,0,86,175,3,0,86,0,0,187,3,0,86
Del Norte,http://www.co.del-norte.ca.us/departments/health-human-services/public-health,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Dorado,https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx,0,0,2,3,0,0.0,3,3,0,0.0,3,9,0,0,3,12,0,0,3,12,0,0,3,0,0,12,0,0,3
